script,category,status,num_windows,active_windows,profitable_ratio,avg_roi,roi_std,min_roi,max_roi,avg_sharpe,sharpe_std,avg_win_rate,consistency_score,orig_composite,w0_roi,w0_trades,w1_roi,w1_trades,w2_roi,w2_trades
arbitrage-detector-luxalgo,editors_picks,OK,3,3,0.0,-20.037244425442342,8.431110206056873,-31.811217796782948,-12.520658939994536,-4.867365561562255,3.0954042865564584,34.60904755022403,0.15,0,-12.520658939994536,74,-31.811217796782948,55,-15.779856539549538,85
arbitrage-matrix-luxalgo,editors_picks,OK,3,2,0.0,-2.6389080988960854,2.1346010729438496,-4.773509171839935,-0.5043070259522356,-0.735744897076849,0.584672876121642,33.33333333333333,0.09999999999999999,0,-4.773509171839935,2,0,0,-0.5043070259522356,3
htf-floating-candles-w-volume-footprint-theultimator5,editors_picks,OK,3,3,0.0,-19.834715170782687,13.225498594752015,-38.53491899523556,-10.17235965550263,-3.490557878801003,2.4308387823696833,39.299552906110286,0.15,0,-10.17235965550263,56,-38.53491899523556,55,-10.796866861609873,61
hyperfork-matrix,editors_picks,OK,3,3,0.0,-17.119431808218383,10.09088092364213,-31.35723685165678,-9.16237811787438,-3.9176533644599956,3.184763985334732,39.68926553672316,0.15,0,-9.16237811787438,54,-31.35723685165678,48,-10.838680455123992,59
mad-gann-o-maticus,editors_picks,OK,3,2,0.0,-2.6389080988960854,2.1346010729438496,-4.773509171839935,-0.5043070259522356,-0.735744897076849,0.584672876121642,33.33333333333333,0.09999999999999999,0,-4.773509171839935,2,0,0,-0.5043070259522356,3
match-finder-theultimator5,editors_picks,OK,3,2,0.6666666666666666,4.066740681182512,2.9295396470333723,1.1372010341491405,6.996280328215885,0.682079558141225,0.47462715803489075,30.384615384615387,0.48501024723052316,0,6.996280328215885,13,0,0,1.1372010341491405,20
smart-trader-concentric-candles-aristotelian-cycloids,editors_picks,OK,3,3,0.0,-15.491825447656423,13.879851832769138,-35.120784271686624,-5.618934026325034,-2.5026017823821465,2.3068504817677233,46.80521091811414,0.15,0,-5.735758044957605,32,-35.120784271686624,26,-5.618934026325034,31
smart-trader-episode-03-candles-and-tradelines,editors_picks,OK,3,2,0.0,-3.714847949647723,1.272745598899113,-4.987593548546836,-2.44210235074861,-1.1026859457853386,0.3298088425982447,16.666666666666664,0.09999999999999999,0,-4.987593548546836,3,0,0,-2.44210235074861,3
tasc-202604-a-synthetic-oscillator,editors_picks,OK,3,3,0.3333333333333333,0.45859581399079374,2.791229422407922,-2.4666025675414276,4.216593304460999,0.10744738838348367,0.6838237232875661,52.38095238095238,0.34800371491472903,0,-0.37420329494719046,7,4.216593304460999,10,-2.4666025675414276,10
trend-line-methods-tlm,editors_picks,OK,3,2,0.6666666666666666,5.268261214720944,1.763924219950335,3.5043369947706084,7.032185434671279,1.5741157529879894,0.49851368718012723,83.33333333333333,0.48504621761190625,0,7.032185434671279,3,3.5043369947706084,1,-3.329065890050828,0
