script,category,status,num_windows,active_windows,profitable_ratio,avg_roi,roi_std,min_roi,max_roi,avg_sharpe,sharpe_std,avg_win_rate,consistency_score,orig_composite,w0_roi,w0_trades,w1_roi,w1_trades,w2_roi,w2_trades,w3_roi,w3_trades,w4_roi,w4_trades
htf-volume-spike-imbalance-projection-luxalgo,trend_analysis,OK,5,5,0.6,0.4711194125000066,5.584690281698715,-8.412560234375022,6.362752929687529,-0.13307435888324737,1.1731857613571748,51.904761904761905,0.3623555970625,0,3.3937229140625127,18,-8.412560234375022,7,-3.6032160859375004,2,4.614897539062513,3,6.362752929687529,14
ict-mtf-poi-cisd-liquidity-trade-manager,trend_analysis,OK,5,4,0.4,2.9908534082156155,14.951311277925534,-14.16783868871293,26.059452667968742,-0.4907577610277569,1.6972153830192873,37.5,0.27495426704107806,0,26.059452667968742,1,-14.16783868871293,2,-4.970213840344557,2,4.399802789062495,0,5.042013493951206,4
impulse-trend-tracker,trend_analysis,OK,5,4,0.0,-10.387373304687502,6.928497589080417,-20.447842953124987,-1.2490798906250276,-1.38236876226961,0.9127317291704721,43.72373949579831,0.12,0,-20.447842953124987,17,-1.2490798906250276,8,-11.779613921875002,4,4.399802789062495,0,-8.072956453124993,14
inside-candle-positional-strategy,trend_analysis,OK,5,5,0.6,-0.8658551835937569,6.9161620225064935,-13.194180898437494,8.08147191406248,-0.2009399293469607,0.9695244971196292,35.52380952380952,0.36,0,-1.1385049570312695,10,-13.194180898437494,4,0.5277846953124973,3,1.3941533281250014,1,8.08147191406248,7
internal-vs-external-liquidity-zones-alpha-extract,trend_analysis,OK,5,1,0.0,-8.198671148437498,0,-8.198671148437498,-8.198671148437498,-1.51902816846764,0,0.0,0.03,0,33.247394664062504,0,-8.198671148437498,1,0,0,6.101713937499997,0,-3.7053741093749997,0
inverse-golden-pocket-mtf-zones,trend_analysis,OK,5,4,0.6,0.033958762695317724,11.982933904014805,-20.441614203124992,10.059122742187508,-0.43763733330102844,1.8222532840987684,37.5,0.33016979381347655,0,5.305502800781265,2,-20.441614203124992,2,5.2128237109374895,1,8.309633421874999,0,10.059122742187508,2
inversion-fair-value-gaps-ifvg-chartprime,trend_analysis,OK,5,3,0.2,-9.365178149739583,17.236190214598064,-25.239053460937505,14.5918856484375,-1.4220546064607926,1.5206733741134892,50.0,0.15999999999999998,0,-17.44836663671874,4,14.5918856484375,1,0,0,3.8524434765625046,0,-25.239053460937505,1
kama-sd-bands-rakoquant,trend_analysis,OK,5,1,0.0,-3.794801070312489,0,-3.794801070312489,-3.794801070312489,-0.29329256623366085,0,0.0,0.03,0,20.140926289062495,0,0,0,24.846986476562495,0,0,0,-3.794801070312489,1
key-pivot-collector-dataset-oriented,trend_analysis,OK,5,3,0.2,-4.14801649088541,21.584440987622198,-27.50259272656249,24.551462019531233,-0.7931302092244228,2.3368817556777057,38.888888888888886,0.15999999999999998,0,24.551462019531233,2,-9.492918765624971,3,0,0,0,0,-27.50259272656249,2
kj-pullback-regime-with-filter-with-1hour-filter,trend_analysis,OK,5,1,0.2,1.612149632812507,0,1.612149632812507,1.612149632812507,0.5059657904699376,0,0.0,0.3580607481640625,0,0,0,0,0,0,0,0,0,1.612149632812507,1
