script,category,status,num_windows,active_windows,profitable_ratio,avg_roi,roi_std,min_roi,max_roi,avg_sharpe,sharpe_std,avg_win_rate,consistency_score,orig_composite,w0_roi,w0_trades,w1_roi,w1_trades,w2_roi,w2_trades
rsi-momentum-structure,oscillators,OK,3,3,0.0,-5.338896103059525,1.28158037865671,-7.092400161966799,-4.065167957216501,-0.8789190463164527,0.21960458565255778,38.397780534877306,0.15,0,-4.859120189995273,31,-4.065167957216501,16,-7.092400161966799,39
rsi-moving-average-crossovers-by-kd,oscillators,OK,3,2,0.3333333333333333,1.3643682569699156,1.8658954749576513,-0.5015272179877356,3.230263731927567,0.20794354515512853,0.27209354847323874,50.0,0.4054651208332065,0,-0.5015272179877356,2,5.741224265439727,0,3.230263731927567,6
rsi-mtf,oscillators,OK,3,3,0.3333333333333333,-0.23874061717381126,4.661382783402437,-4.89013523360288,6.132464109374298,0.039987204731710274,0.6236489324838316,44.444444444444436,0.3607544335457088,0,-4.89013523360288,3,6.132464109374298,4,-1.9585507272928515,2
rsi-multi-stock-table-prepost-mkt-howlytr,oscillators,OK,3,2,0.0,-4.817067796265778,3.4266973784067374,-8.243765174672516,-1.3903704178590415,-0.6687993502823715,0.4915980212971325,50.0,0.09999999999999999,0,-1.3903704178590415,1,-8.243765174672516,1,0,0
rsi-screener,oscillators,OK,3,2,0.6666666666666666,13.994435116271088,0.7445149221824465,13.249920194088642,14.738950038453535,1.1430185528408912,0.27257488896535126,100.0,0.585161786673351,0,14.738950038453535,2,13.249920194088642,1,-3.788053464969242,0
rsi-sma-cross-clr-fill-mtf,oscillators,OK,3,3,0.0,-16.21208880728389,4.067369735803655,-20.327863988841056,-10.674180980536011,-3.02612224855895,1.25769733115725,26.932367149758452,0.15,0,-20.327863988841056,28,-17.63422145247461,18,-10.674180980536011,23
rsi-stochastic-momentum-indicator-crlmx,oscillators,OK,3,3,0.3333333333333333,-7.457281058464126,13.272928730335531,-23.576884498634286,8.931670937584903,-1.930141220901982,2.732600169179215,35.810023310023304,0.26666666666666666,0,-7.726629614342993,8,-23.576884498634286,13,8.931670937584903,11
rsi-suite-foundation,oscillators,OK,3,3,0.3333333333333333,-2.4707697861791917,10.285759895730715,-13.37658833332175,11.318363231482364,-0.9204324979739216,2.4575874230187744,23.14814814814815,0.26666666666666666,0,-5.354084256698188,9,11.318363231482364,4,-13.37658833332175,9
rsi-trending-system,oscillators,OK,3,2,0.0,-7.0571904789039985,4.14466854652435,-11.201859025428348,-2.9125219323796485,-1.3176065742347725,0.9581288167976915,47.972972972972975,0.09999999999999999,0,-2.9125219323796485,37,7.140867098024217,0,-11.201859025428348,40
rsi-value-only,oscillators,OK,3,1,0.3333333333333333,15.453903948556924,0,15.453903948556924,15.453903948556924,2.564298487886852,0,100.0,0.49393618640945125,0,-4.323347272789382,0,15.453903948556924,1,-1.5807307139264597,0
rsi-x-price-action-aohige,oscillators,OK,3,2,0.6666666666666666,4.694951719670971,2.4503921680409473,2.2445595516300236,7.145343887711919,1.1317241655485502,0.006989060610463005,100.0,0.6050608267790725,0,7.145343887711919,1,0,0,2.2445595516300236,1
s21-rsi-14-15m-only,oscillators,OK,3,1,0.3333333333333333,15.453903948556924,0,15.453903948556924,15.453903948556924,2.564298487886852,0,100.0,0.49393618640945125,0,-4.323347272789382,0,15.453903948556924,1,-1.5807307139264597,0
satoshisignals-momentum-divergence-scanner,oscillators,OK,3,1,0.3333333333333333,11.52032171630622,0,11.52032171630622,11.52032171630622,1.1998037324485413,0,100.0,0.47426827524819776,0,-4.323347272789382,0,0,0,11.52032171630622,1
simple-volume-zone-oscillator-svzo-tr,oscillators,OK,3,3,0.3333333333333333,3.991717307991538,12.089077127671484,-6.628714144370708,20.904670018282953,0.07139926307201927,1.848353226545949,44.444444444444436,0.28662525320662435,0,-2.300803949937632,3,20.904670018282953,3,-6.628714144370708,3
sma-9-plus-variable,oscillators,OK,3,3,1.0,7.73103306389519,3.027561610859273,5.091131984697641,11.970296139068378,1.4353637684318563,0.591627935191587,86.66666666666667,0.6407481815215792,0,11.970296139068378,2,5.091131984697641,1,6.131671067919553,5
solana-usd-swing-trending-strategy,oscillators,OK,3,3,0.3333333333333333,-2.6279693825053783,7.89306694258386,-8.974612209249825,8.497763757033011,-1.030988032975955,1.9267852721326908,31.666666666666668,0.26666666666666666,0,-8.974612209249825,10,8.497763757033011,4,-7.4070596952993215,12
squeeze-momentum-by-lincoln,oscillators,OK,3,2,0.3333333333333333,0.917896115685406,2.624730108353193,-1.7068339926677871,3.542626224038599,0.15233168579315925,0.35039628234248477,16.666666666666664,0.38365707665947246,0,-1.7068339926677871,3,16.262235331589544,0,3.542626224038599,1
